decision_id,experiment,pattern,model,n_agents,n_rounds,converged,final_answer,total_input_tokens,total_output_tokens,total_latency_s,total_energy_j,energy_per_hop_j,energy_per_decision_j,j_per_output_token,prompt_text
25d0937d,patterns,nl_debate,Qwen/Qwen3.5-27B,7,1,True,general,889,9035,79.8453,7116.1874,1016.5982,7116.1874,0.787625,What are your business hours and do you have a location near downtown?
cb8e3eb6,patterns,nl_debate,Qwen/Qwen3.5-27B,7,1,True,technical,917,11513,86.4665,7650.273,1092.8961,7650.273,0.66449,The app crashes every time I try to upload a file larger than 10MB.
bd3b0b30,patterns,nl_debate,Qwen/Qwen3.5-27B,7,2,True,general,3017,30260,311.179,23041.0914,1645.7922,23041.0914,0.761437,Can you explain the difference between your premium and basic plans?
a1ee7e0e,patterns,nl_debate,Qwen/Qwen3.5-27B,7,1,True,billing,882,11199,72.5365,6492.6646,927.5235,6492.6646,0.579754,I need to update the credit card on file for automatic payments.
8d696059,patterns,nl_debate,Qwen/Qwen3.5-27B,7,1,True,technical,896,10879,87.9095,7770.2255,1110.0322,7770.2255,0.714241,My smart home device won't connect to the WiFi after the firmware update.
cb9f7cc7,patterns,nl_debate,Qwen/Qwen3.5-27B,7,1,True,general,903,18292,133.3959,11244.4479,1606.3497,11244.4479,0.614719,I'm moving next month and need to transfer my service to a new address.
13fb8d19,patterns,nl_debate,Qwen/Qwen3.5-27B,7,1,True,billing,889,10852,78.731,7019.8585,1002.8369,7019.8585,0.646872,Your website says my payment failed but my bank shows it went through.
52be4dce,patterns,nl_debate,Qwen/Qwen3.5-27B,7,1,True,cancellation,924,25034,246.0546,18867.7256,2695.3894,18867.7256,0.753684,I've been a customer for 5 years and I'm thinking about switching to a competitor.
67876d38,patterns,nl_debate,Qwen/Qwen3.5-27B,7,1,True,technical,896,9536,95.8787,8405.6165,1200.8024,8405.6165,0.881461,The remote control for my cable box isn't responding to any button presses.
f6849499,patterns,nl_debate,Qwen/Qwen3.5-27B,7,2,True,general,3101,36752,339.2545,24742.285,1767.3061,24742.285,0.673223,I'd like to add a second line to my family plan. What are the options?
bdca643f,patterns,nl_debate,Qwen/Qwen3.5-27B,7,1,True,billing,924,10964,88.3514,7809.6514,1115.6645,7809.6514,0.712299,My bill this month is $40 higher than usual and I don't see any explanation.
02e6fca4,patterns,nl_debate,Qwen/Qwen3.5-27B,7,1,True,technical,896,10241,110.5188,9543.8585,1363.4084,9543.8585,0.931926,I can't log into my account even after resetting my password three times.
265b2541,patterns,nl_debate,Qwen/Qwen3.5-27B,7,1,True,billing,875,25372,387.4573,27613.9332,3944.8476,27613.9332,1.088362,Do you offer any senior citizen discounts on your monthly plans?
445df31b,patterns,nl_debate,Qwen/Qwen3.5-27B,7,1,True,technical,903,10991,121.2757,10360.6849,1480.0978,10360.6849,0.942652,The picture quality on my streaming is terrible even though I have gigabit internet.
021f36f8,patterns,nl_debate,Qwen/Qwen3.5-27B,7,2,True,billing,3031,36640,593.6502,39957.8154,2854.1297,39957.8154,1.090552,I want to downgrade my plan but keep my current phone number.
0b9aea8a,patterns,nl_debate,Qwen/Qwen3.5-27B,7,1,True,billing,882,25190,297.486,22204.3588,3172.0513,22204.3588,0.881475,Someone made unauthorized purchases on my account and I need it frozen.
6f8299c4,patterns,nl_debate,Qwen/Qwen3.5-27B,7,1,True,technical,889,10991,141.8123,11839.2128,1691.3161,11839.2128,1.077173,How do I set up parental controls on the new set-top box?
